faces,has_text,brightness,vibrancy,contrast,color_variety,red_dominance,sharpness,aspect_ratio,image_name
3,1,0.2862,0.3126,0.2108,72.506,0.2584,478.4723,1.78,vid_1188.jpg
0,1,0.3498,0.1698,0.2186,66.491,0.0023,540.0091,1.78,vid_1189.jpg
1,0,0.2039,0.4115,0.1605,57.018,0.0966,222.8398,1.78,vid_119.jpg
0,0,0.3737,0.2079,0.239,66.491,0.0247,326.784,1.78,vid_1190.jpg
0,1,0.8682,0.2517,0.253,0.0,0.0665,1753.1025,1.78,vid_1191.jpg
0,0,0.3801,0.1247,0.2442,24.921,0.0035,81.5177,1.78,vid_1192.jpg
0,0,0.8415,0.3765,0.2413,0.0,0.2404,58.2358,1.78,vid_1193.jpg
0,0,0.4076,0.7955,0.1935,44.621,0.0027,169.4944,1.78,vid_1194.jpg
0,0,0.3198,0.2466,0.2121,89.671,0.0103,229.365,1.78,vid_1195.jpg
0,1,0.2723,0.1562,0.212,53.63,0.0256,399.1491,1.78,vid_1196.jpg
1,1,0.3733,0.3792,0.2471,95.856,0.0693,518.4122,1.78,vid_1197.jpg
0,1,0.3838,0.2045,0.243,81.243,0.0015,236.5468,1.78,vid_1198.jpg
2,1,0.3233,0.169,0.1978,76.324,0.0139,315.5977,1.78,vid_1199.jpg
1,0,0.116,0.7587,0.1274,42.093,0.0,341.0918,1.78,vid_12.jpg
5,1,0.5647,0.5254,0.2574,0.0,0.1171,2212.6561,1.78,vid_120.jpg
1,0,0.2972,0.2767,0.2174,76.337,0.0016,222.5627,1.78,vid_1200.jpg
5,1,0.3187,0.2407,0.2947,72.222,0.0214,406.1016,1.78,vid_1201.jpg
1,1,0.888,0.3013,0.1356,0.0,0.005,600.406,1.78,vid_1202.jpg
2,0,0.4283,0.3436,0.279,76.26,0.2313,289.1186,1.78,vid_1203.jpg
1,0,0.3784,0.4873,0.2528,65.749,0.232,170.2248,1.78,vid_1204.jpg
0,0,0.3655,0.2516,0.2316,80.907,0.0435,370.4748,1.78,vid_1205.jpg
3,1,0.2536,0.2357,0.2722,64.592,0.0625,732.5316,1.78,vid_1206.jpg
0,1,0.323,0.3956,0.2131,65.383,0.0537,290.6362,1.78,vid_1207.jpg
0,0,0.3635,0.2986,0.2523,52.531,0.0954,220.3683,1.78,vid_1208.jpg
1,0,0.4449,0.2382,0.2615,81.045,0.0229,173.1665,1.78,vid_1209.jpg
1,0,0.274,0.5043,0.2019,37.891,0.0072,55.5305,1.78,vid_121.jpg
